id,score,clustering_coeff,path_length
29,25.471463817098638,0.0034133792347228356,3.1134204024016845
31,25.484745287420612,0.0035932044631961286,3.1057940175969736
43,25.49038330409764,0.0034315238832671817,3.1085749359043144
10,25.502962552187096,0.0033736348744529653,3.1107902857888248
12,25.50756216760555,0.0035027872882777518,3.1067985843013
47,25.511993733235055,0.003651105384394009,3.101865228768951
6,25.514582853188276,0.0035190693810723396,3.1090789323478374
34,25.51749272282247,0.003387563732075996,3.118833671788876
30,25.534576574185255,0.00354505440967174,3.1118162537214427
24,25.537422683210693,0.0033661008019029675,3.105604385831672
